Tahun,Organik,Kertas,Plastik,Karet_dan_Kulit,Logam,Kain,Limbah_B3,Kaca,Lainnya
2008,4752,781.5,732,,72,127.5,,108.75,927
2009,4767.4,781.5,732,,108.75,71.25,,127.5,912
2010,3516,731,1641,,147,115,,204,596
2011,780,162,174,,64.5,52.5,,54,203
2012,758.7,157.8,,,31.8,24.9,,44.1,482.7
2013,780,27,17.4,28.5,64.5,52.5,,54,319.5
2014,832,172.8,185.6,30.4,68.8,56,,57.6,196.8
2015,,,,,,,,,0
2016,502.4,515.2,28.8,30.4,68.8,57.6,,56,340.8
2017,832,172.8,188.8,30.4,68.8,56,,57.6,196.8
2018,775.84,209.92,298.72,38,14.4,76,121.28,,65.76
2019,849.83,229.94,327.21,41.72,15.95,83.25,132.67,,72.03
2020,841.78,227.76,324.28,41.32,15.62,82.46,131.42,,71.35
2021,802.64,217.17,276.43,39.4,14.9,78.63,30.13,,195.98
2022,773.18,209.16,266.23,37.94,14.35,75.72,29.01,,188.59
